date,cases,prec,tmin,tmax,rh,tmean,dewmean,sst
2017-08-06,616.0,11.0249,12.9461,26.0816,66.73220984522023,18.667057142857143,12.352657142857142,17.561514285714285
2017-08-13,314.0,13.739899999999999,13.2858,25.6647,66.925531109164,18.9206,12.635142857142856,17.156842857142856
2017-08-20,72.0,22.697200000000002,13.0895,25.4497,68.16860002728937,18.70785714285714,12.705742857142857,16.7463
2017-08-27,176.0,35.805,11.8593,24.877,70.18821699474273,18.245171428571428,12.71937142857143,16.922242857142855
2017-09-03,173.0,20.8305,13.8647,25.2387,72.95402454008818,18.912285714285712,13.9506,16.958557142857142
2017-09-10,405.0,21.009,14.1541,25.6822,75.0085413366212,18.930457142857144,14.398385714285714,16.905257142857142
2017-09-17,431.0,40.4707,14.9629,24.4677,77.76786694946182,18.445885714285712,14.484457142857142,16.45207142857143
2017-09-24,128.0,27.327299999999997,13.9469,26.4934,75.62024997401342,18.956685714285715,14.537614285714286,16.259642857142858
2017-10-01,338.0,34.515,14.2391,25.5024,73.51560766998043,18.91277142857143,14.062357142857142,16.39407142857143
2017-10-08,299.0,29.715500000000002,14.1937,26.4067,70.30742722093566,19.07752857142857,13.528528571428572,16.4043
2017-10-15,293.0,41.5884,14.2187,26.6765,74.99317675706227,19.131314285714286,14.554942857142859,16.589642857142856
2017-10-22,1.0,45.4075,14.9085,25.8285,77.19395799400266,19.203085714285717,15.104600000000001,16.737514285714287
2017-10-29,287.0,42.5547,15.0289,25.0545,77.27105499891358,18.984471428571428,14.912757142857142,16.92307142857143
2017-11-05,105.0,41.9744,14.9404,25.4958,74.17345247599373,19.202385714285715,14.485957142857144,16.509514285714285
2017-11-12,170.0,55.7151,15.1763,24.9925,78.0712090017527,18.989071428571428,15.073214285714286,16.6098
2017-11-19,247.0,50.6938,15.239,24.8612,79.08014065608602,19.277800000000003,15.557085714285716,17.6
2017-11-26,337.0,38.1322,15.2819,25.6274,75.70874167238672,19.69225714285714,15.27982857142857,17.97662857142857
2017-12-03,331.0,62.4754,15.7559,25.9616,80.10643645667278,19.379742857142855,15.848457142857143,17.789785714285717
2017-12-10,263.0,46.6602,15.32,26.5736,78.19589662636666,19.5147,15.5946,17.537485714285715
2017-12-17,184.0,37.865,15.3272,26.2678,76.58812696206876,19.956485714285716,15.7133,17.915928571428573
2017-12-24,191.0,48.5933,15.8199,24.6971,81.45297529845615,19.46014285714286,16.198214285714286,18.82625714285714
2017-12-31,198.0,62.42100000000001,15.6986,24.064,83.30725139589542,18.991814285714288,16.093,19.178014285714287
2018-01-07,130.0,59.6074,15.4845,24.7582,82.94481967080408,18.96572857142857,15.999214285714285,19.43791428571429
2018-01-14,396.0,68.0062,15.0147,24.0215,85.28867060026225,18.333599999999997,15.815671428571429,19.77947142857143
2018-01-21,397.0,74.6643,15.2844,23.4812,86.42475041358968,18.28,15.974057142857143,19.6009
2018-01-28,608.0,38.076299999999996,15.078,25.1615,82.2782844702026,19.123414285714286,16.022828571428573,19.902371428571428
2018-02-04,457.0,42.2177,15.7664,25.6258,80.89935777949286,20.06402857142857,16.681285714285714,19.9151
2018-02-11,59.0,54.1415,15.768,25.1004,81.95004674237548,19.841757142857144,16.66552857142857,20.209
2018-02-18,339.0,77.6719,15.64,24.069,85.61404891344316,18.97988571428571,16.507285714285715,21.00697142857143
2018-02-25,175.0,55.8191,15.0698,24.8042,81.40153669166138,19.0515,15.7902,21.099557142857144
2018-03-04,237.0,56.5921,15.653,24.6825,84.45987801854248,18.897457142857142,16.217985714285714,20.429928571428572
2018-03-11,288.0,58.908,15.7223,24.6946,84.54587586760142,19.08695714285714,16.420214285714284,19.866814285714288
2018-03-18,205.0,59.1594,16.1909,25.0627,83.53908342164002,19.57284285714286,16.7066,20.179671428571428
2018-03-25,409.0,64.152,15.6887,24.7651,84.78198350692523,19.134785714285716,16.509457142857144,20.0034
2018-04-01,191.0,59.2393,14.6253,24.2416,82.94820236520529,18.593385714285716,15.636642857142858,19.55944285714286
2018-04-08,297.0,59.472899999999996,14.8048,24.7738,83.70750838449702,18.63655714285714,15.820371428571429,19.16418571428571
2018-04-15,332.0,52.5287,14.7467,25.0947,82.26747481641989,18.79407142857143,15.69797142857143,18.603828571428572
